chrom	geneName	strand	location	assigned_tissue_type	Hvalue	AdjustedHvalue
chr1	ACADM	+	76229173	none	2.4793	2.7026
chr1	ACBD3	-	226332388	none	2.5758	2.8032
chr1	ACBD3	-	226332645	none	2.5758	2.7775
chr1	ADAMTSL4	+	150533398	none	2.6077	2.8048
chr1	ADSS	-	244571810	none	2.6087	2.7805
chr1	ADSS	-	244572152	none	2.2784	2.7567
chr1	AGT	-	230838483	none	2.5080	2.7980
chr1	AHDC1	-	27860789	none	2.4985	2.8062
chr1	AK2	-	33478657	none	2.3459	2.7934
chr1	AKIRIN1	+	39471557	none	2.4576	2.8057
chr1	ALDH9A1	-	165631462	none	2.4739	2.8059
chr1	ALDH9A1	-	165631820	none	2.4739	2.7145
chr1	ANGEL2	-	213165532	none	2.5979	2.7881
chr1	ANKRD13C	-	70726282	none	2.2856	2.7193
chr1	ANKRD13C	-	70726916	none	2.6031	2.7819
chr1	ANKRD13C	-	70727791	none	2.3745	2.7080
chr1	ANP32E	-	150190726	none	2.4400	2.7421
chr1	ANP32E	-	150190860	none	2.3244	2.7947
chr1	APOA1BP	+	156564080	none	2.4271	2.7944
chr1	ARID1A	+	27107936	none	2.3886	2.7335
chr1	ARID1A	+	27108590	none	2.3886	2.8064
chr1	ARID4B	-	235330218	none	2.5243	2.7797
chr1	ARID4B	-	235383130	none	2.2933	2.7824
chr1	ARID4B	-	235383693	none	2.3514	2.7935
chr1	ARNT	-	150782581	none	2.2966	2.7970
chr1	ASH1L	-	155305063	none	2.4343	2.7513
chr1	ASH1L	-	155305564	none	2.2463	2.7801
chr1	ATF3	+	212794091	none	2.2412	2.7892
chr1	ATF6	+	161933849	none	2.5542	2.7772
chr1	ATG4C	+	63330044	none	2.3728	2.7764
chr1	ATP1A2	+	160113373	none	2.2036	2.8057
chr1	ATP5F1	+	112004016	none	2.3381	2.7988
chr1	ATPAF1	-	47100725	none	2.5369	2.7917
chr1	B3GALNT2	-	235610535	none	2.5661	2.7447
chr1	BCAN	+	156623259	none	2.4277	2.7429
chr1	BCAN	+	156629313	none	2.4270	2.7341
chr1	BPNT1	-	220231077	none	2.3260	2.7913
chr1	BROX	+	222908524	none	2.6307	2.7905
chr1	BTF3L4	+	52554063	none	2.4220	2.7748
chr1	C1orf123	-	53679813	none	2.4558	2.8023
chr1	C1orf131	-	231359523	none	2.4435	2.7993
chr1	C1orf198	-	230972877	none	2.6131	2.8069
chr1	C1orf21	+	184588880	none	2.2646	2.7546
chr1	C1orf21	+	184589455	none	2.4625	2.7519
chr1	C1orf21	+	184598151	none	2.3412	2.7048
chr1	C1orf27	+	186355412	none	2.4957	2.7365
chr1	C1orf35	-	228288444	none	2.2157	2.8049
chr1	C1orf50	+	43241186	none	2.2888	2.7756
chr1	C1orf86	-	2115917	none	2.5010	2.7211
chr1	C1orf95	+	226796913	none	2.4171	2.7255
chr1	C1QB	+	22988025	none	2.5227	2.7984
chr1	CACYBP	+	174979491	none	2.5889	2.7062
chr1	CACYBP	+	174979927	none	2.5889	2.7170
chr1	CAMSAP2	+	200829824	none	2.6274	2.7125
chr1	CAPN2	+	223963519	none	2.5051	2.8072
chr1	CC2D1B	-	52818208	none	2.3430	2.7305
chr1	CCNL2	-	1322086	none	2.4950	2.7498
chr1	CDC42	+	22419425	none	2.3257	2.8056
chr1	CDC42BPA	-	227177577	none	2.3806	2.7865
chr1	CDC42BPA	-	227316848	none	2.2810	2.7007
chr1	CENPF	+	214837423	none	2.3699	2.7999
chr1	CENPL	-	173768698	none	2.4468	2.7742
chr1	CEPT1	+	111727696	none	2.5711	2.8006
chr1	CHD1L	+	146767432	none	2.6186	2.8068
chr1	CHTOP	+	153617934	none	2.6306	2.7381
chr1	CHTOP	+	153618767	none	2.6111	2.7919
chr1	CLCC1	-	109472577	none	2.4254	2.7825
chr1	CLCC1	-	109474418	none	2.5683	2.7861
chr1	CMPK1	+	47843445	none	2.3454	2.7721
chr1	CMPK1	+	47844495	none	2.2882	2.7996
chr1	CNN3	-	95362523	none	2.4644	2.7539
chr1	COA7	-	53150124	none	2.4788	2.8063
chr1	COG2	+	230829478	none	2.5155	2.7085
chr1	COG2	+	230829698	none	2.5155	2.7171
chr1	COL16A1	-	32118100	none	2.4961	2.8065
chr1	COPA	-	160258384	none	2.5025	2.7073
chr1	COPA	-	160258948	none	2.2800	2.7783
chr1	COX20	+	245008351	none	2.3974	2.8041
chr1	CRYZ	-	75171177	none	2.4604	2.8071
chr1	CSDE1	-	115259546	none	2.2841	2.7510
chr1	CSDE1	-	115259965	none	2.5902	2.7666
chr1	CTBS	-	85018811	none	2.4989	2.7646
chr1	DARS2	+	173827555	none	2.6149	2.7750
chr1	DBT	-	100659477	none	2.3738	2.7922
chr1	DCLRE1B	+	114456689	none	2.2273	2.8016
chr1	DDX20	+	112309875	none	2.3206	2.7779
chr1	DEDD	-	161090773	none	2.3748	2.7345
chr1	DEDD	-	161091126	none	2.3748	2.7965
chr1	DEGS1	+	224380852	none	2.6535	2.7850
chr1	DEGS1	+	224381131	none	2.6535	2.7483
chr1	DESI2	+	244872321	none	2.2295	2.8070
chr1	DNAJC11	-	6694237	none	2.4982	2.8035
chr1	DNAJC8	-	28527077	none	2.5807	2.8066
chr1	DNAJC8	-	28531792	none	2.5807	2.7059
chr1	DNM3OS	-	172108186	none	2.5838	2.7188
chr1	DNTTIP2	-	94335355	none	2.4191	2.8034
chr1	DNTTIP2	-	94341226	none	2.5279	2.7802
chr1	DOCK7	-	62920695	none	2.2455	2.7877
chr1	DPH5	-	101455628	none	2.3282	2.8034
chr1	DPT	-	168665584	none	2.6128	2.7442
chr1	DRAM2	-	111659963	none	2.6197	2.7003
chr1	DRAM2	-	111660541	none	2.6198	2.8022
chr1	DTL	+	212278175	none	2.5918	2.7137
chr1	DUSP10	-	221874810	none	2.5680	2.7765
chr1	EBNA1BP2	-	43629998	none	2.5600	2.8033
chr1	ECE1	-	21543754	none	2.5673	2.8020
chr1	EFCAB14	-	47140841	none	2.3942	2.7817
chr1	EGLN1	-	231499516	none	2.3022	2.8070
chr1	EIF2D	-	206764986	none	2.3250	2.8067
chr1	EIF4G3	-	21132999	none	2.6423	2.7960
chr1	EMC1	-	19544593	none	2.4660	2.7831
chr1	EMC1	-	19545445	none	2.3378	2.7087
chr1	ENAH	-	225682533	none	2.4419	2.7280
chr1	EPHX4	+	92529019	none	2.5006	2.7058
chr1	EPS15	-	51820911	none	2.2013	2.7857
chr1	ESPN	+	6520464	none	2.4096	2.7283
chr1	ETNK2	-	204100202	none	2.2762	2.8071
chr1	EVI5	-	92974264	none	2.3310	2.7701
chr1	EVI5	-	92978030	none	2.3310	2.7140
chr1	EXOSC10	-	11126682	none	2.5419	2.8071
chr1	EXTL2	-	101337953	none	2.4685	2.8056
chr1	FABP3	-	31838313	none	2.5582	2.7058
chr1	FABP3	-	31838481	none	2.4981	2.7313
chr1	FAIM3	-	207077739	none	2.4301	2.7492
chr1	FAM129A	-	184760171	none	2.3729	2.7337
chr1	FAM129A	-	184760639	none	2.4166	2.7838
chr1	FAM76A	+	28089619	none	2.6271	2.7671
chr1	FBXO28	+	224347207	none	2.3706	2.7934
chr1	FBXO44	+	11722335	none	2.4033	2.7966
chr1	FH	-	241660918	none	2.5759	2.7083
chr1	FH	-	241661090	none	2.5759	2.8034
chr1	FLJ27354	-	90097453	none	2.6022	2.7340
chr1	FMO2	+	171180284	none	2.4730	2.7093
chr1	FNBP1L	+	94020205	none	2.5091	2.8043
chr1	FUBP1	-	78409750	none	2.3759	2.8039
chr1	GADD45A	+	68154002	none	2.6601	2.8065
chr1	GATAD2B	-	153779085	none	2.3877	2.7739
chr1	GCLM	-	94354018	none	2.3684	2.7868
chr1	GGPS1	+	235506403	none	2.2871	2.8014
chr1	GLMN	-	92712034	none	2.5528	2.7504
chr1	GNAI3	+	110136132	none	2.2392	2.7597
chr1	GNB1	-	1716737	none	2.5308	2.7963
chr1	GNG4	-	235714148	none	2.3613	2.7377
chr1	GNG5	-	84964003	none	2.3441	2.8072
chr1	GOLPH3L	-	150618713	none	2.6401	2.7855
chr1	GPBP1L1	-	46092982	none	2.3366	2.7434
chr1	GPBP1L1	-	46093167	none	2.4213	2.7985
chr1	GPN2	-	27202633	none	2.5649	2.7733
chr1	GPN2	-	27205879	none	2.5142	2.7556
chr1	GPX7	+	53074580	none	2.2596	2.7982
chr1	GPX7	+	53074701	none	2.2596	2.7529
chr1	GSTM3	-	110279133	none	2.3477	2.7847
chr1	GSTM5	+	110260462	none	2.6164	2.7071
chr1	HDGF	-	156711914	none	2.4268	2.7958
chr1	HDGF	-	156712330	none	2.4268	2.7651
chr1	HHIPL2	-	222695602	none	2.6655	2.7035
chr1	HIAT1	+	100548785	none	2.6207	2.7443
chr1	HNRNPR	-	23636285	none	2.5633	2.8071
chr1	HNRNPU	-	245016964	none	2.4059	2.7865
chr1	HNRNPU	-	245019306	none	2.5247	2.7473
chr1	HS2ST1	+	87571896	none	2.5249	2.7444
chr1	HS2ST1	+	87573875	none	2.2569	2.7546
chr1	ICMT	-	6281270	none	2.6449	2.7960
chr1	ICMT	-	6283541	none	2.6449	2.7389
chr1	IFI16	+	159024930	none	2.4419	2.8025
chr1	IGSF3	-	117117037	none	2.4906	2.7989
chr1	INPP5B	-	38326377	none	2.3151	2.7954
chr1	IRF2BP2	-	234742501	none	2.3758	2.7157
chr1	IVNS1ABP	-	185266669	none	2.4837	2.7456
chr1	IVNS1ABP	-	185266910	none	2.5809	2.7816
chr1	JTB	-	153946755	none	2.3288	2.7253
chr1	JTB	-	153946996	none	2.3288	2.7978
chr1	JUN	-	59246471	none	2.2569	2.7095
chr1	KCTD3	+	215795105	none	2.2263	2.8069
chr1	KDM1A	+	23410173	none	2.3077	2.8054
chr1	KIAA1107	+	92650275	none	2.5377	2.7329
chr1	KIAA1324	+	109745843	none	2.2924	2.7475
chr1	KLHL20	+	173755831	none	2.2959	2.7824
chr1	L1TD1	+	62677217	none	2.4006	2.7206
chr1	LAMC2	+	183213685	none	2.2818	2.8048
chr1	LAMC2	+	183214025	none	2.5819	2.7376
chr1	LBR	-	225590104	none	2.2976	2.7280
chr1	LINC01140	+	87634879	none	2.5977	2.7310
chr1	LMNA	+	156107647	none	2.5215	2.7947
chr1	LMO4	+	87811251	none	2.4046	2.8072
chr1	LOC646626	+	85743874	none	2.2763	2.8024
chr1	LRIF1	-	111489820	none	2.4398	2.8033
chr1	LRP8	-	53711231	none	2.3726	2.7841
chr1	LRRC8B	+	90062131	none	2.3114	2.7031
chr1	LRRC8D	+	90401552	none	2.2813	2.8057
chr1	LUZP1	-	23420135	none	2.6242	2.7452
chr1	LYPLAL1	+	219385155	none	2.5379	2.8039
chr1	LZIC	-	9990308	none	2.5436	2.7776
chr1	MAN1A2	+	118071198	none	2.3564	2.7296
chr1	MAN1A2	+	118071485	none	2.2212	2.7997
chr1	MAN1C1	+	26110931	none	2.5122	2.7999
chr1	MAN1C1	+	26112692	none	2.5121	2.7503
chr1	MCL1	-	150547046	none	2.3000	2.7999
chr1	MDM4	+	204527235	none	2.3248	2.7188
chr1	MEAF6	-	37958911	none	2.3031	2.7358
chr1	MED8	-	43850418	none	2.5651	2.7708
chr1	MEF2D	-	156433532	none	2.5118	2.7429
chr1	MEGF6	-	3404527	none	2.4026	2.7873
chr1	METTL13	+	171766077	none	2.2146	2.7315
chr1	MEX3A	-	156041806	none	2.5583	2.7702
chr1	MIA3	+	222839462	none	2.5057	2.7898
chr1	MIER1	+	67453339	none	2.3812	2.7436
chr1	MPC2	-	167887321	none	2.2747	2.7980
chr1	MRPS14	-	174983569	none	2.4949	2.7579
chr1	MRPS21	+	150280785	none	2.5963	2.8066
chr1	MTHFR	-	11845799	none	2.2049	2.7912
chr1	MTR	+	237063069	none	2.4432	2.7664
chr1	MTR	+	237063944	none	2.4197	2.7980
chr1	NAV1	+	201796086	none	2.3235	2.7685
chr1	NBPF1	-	16888926	none	2.5552	2.8022
chr1	NDUFS5	+	39500273	none	2.4585	2.7614
chr1	NEGR1	-	71869416	none	2.3280	2.7306
chr1	NENF	+	212619472	none	2.5469	2.8062
chr1	NEXN	+	78392167	none	2.5502	2.7247
chr1	NFIA	+	61928456	none	2.5805	2.7186
