chrom	geneName	strand	location	assigned_tissue_type	Hvalue	AdjustedHvalue
chr1	ACBD6	-	180339695	Bcell	0.3190	0.7924
chr1	ADORA3	-	112025971	Testis+Brain	1.3498	1.7222
chr1	ADORA3	-	112042056	Brain+Muscle	1.3849	2.1843
chr1	ADSS	-	244603866	Bcell+hES	1.2582	1.4073
chr1	AGBL4	-	49332963	Brain+Muscle	1.6590	1.9365
chr1	AKT3	-	243808871	Bcell+Muscle	1.3471	1.8579
chr1	AKT3	-	243850738	Bcell	1.0898	1.2430
chr1	AKT3	-	243981961	Bcell	0.5485	0.7457
chr1	ANKRD13C	-	70748165	Bcell+hES	1.5839	1.9609
chr1	ANKRD13C	-	70818498	Testis+Bcell+Muscle	1.6199	1.9915
chr1	ASH1L	-	155437557	hES+Bcell	0.7937	1.2767
chr1	ASH1L	-	155475383	Bcell+hES	1.0631	1.2050
chr1	ASPM	-	197114363	Brain	0.8862	1.1535
chr1	ATP2B4	+	203702753	Testis	1.4543	1.5146
chr1	B3GALNT2	-	235613248	Testis	1.5106	2.1981
chr1	BCAS2	-	115110785	Testis	1.3474	2.0057
chr1	BCAS2	-	115123179	Bcell	1.6973	1.7086
chr1	BCL10	-	85733246	Testis+Bcell	1.0075	1.3395
chr1	BRINP3	-	190066835	Brain+Breast+Testis	1.2214	1.2655
chr1	BRINP3	-	190441996	Testis	0.6527	0.7441
chr1	BROX	+	222906102	Testis	1.3631	1.4790
chr1	BSDC1	-	32841116	Bcell	0.9557	1.2871
chr1	C1orf162	+	112020747	Testis+hES	1.5670	1.9076
chr1	C1orf174	-	3806433	Testis+Brain	0.3062	0.6544
chr1	CAMTA1	+	7826969	Testis	0.3292	0.6345
chr1	CAMTA1	+	7828279	Brain	1.4461	1.8576
chr1	CAMTA1	+	7829758	Brain+Breast	1.4119	1.8012
chr1	CAPZA1	+	113212880	Testis	0.5861	0.7425
chr1	CD46	+	207966997	Testis	0.5170	0.6006
chr1	CD53	+	111444805	Bcell	1.2082	1.7334
chr1	CD55	+	207504561	Bcell+Breast	1.2190	1.5444
chr1	CDC14A	+	100965010	Testis	1.2641	1.2947
chr1	CDC42	+	22417292	Brain+Bcell	1.7597	1.6883
chr1	CDC7	+	91990048	Testis+hES	1.0839	1.9238
